"";"LETO";"DEJAVNOST";"REGIJA";"SKUPNO"
"197";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Savinjska";14014,86
"198";"2014";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Zasavska";13702,17
"199";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Gorenjska";15125,56
"200";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Goriška";18247,42
"201";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Jugovzhodna Slovenija";17622,76
"202";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Koroška";13417,17
"203";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osrednjeslovenska";16035,36
"204";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Podravska";14926,9
"205";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Pomurska";15126,04
"206";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Posavska";13739,52
"207";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Primorsko-notranjska";19429,47
"208";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Savinjska";14607,66
"209";"2015";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Zasavska";9508,9
"210";"2015";"B RUDARSTVO";"Gorenjska";NA
"211";"2015";"B RUDARSTVO";"Goriška";19817,32
"212";"2015";"B RUDARSTVO";"Jugovzhodna Slovenija";NA
"213";"2015";"B RUDARSTVO";"Koroška";17320,17
"214";"2015";"B RUDARSTVO";"Osrednjeslovenska";25286,89
"215";"2015";"B RUDARSTVO";"Podravska";12130,44
"216";"2015";"B RUDARSTVO";"Pomurska";15547,5
"217";"2015";"B RUDARSTVO";"Posavska";NA
"218";"2015";"B RUDARSTVO";"Primorsko-notranjska";NA
